x_CNCS_para, u_arr_CNCS_para,bound_arr_CNCS_para, spacing_arr_CNCS_para
0.0000,-0.0000,0.0000,1024.0000
0.0010,0.0000,0.0000,1024.0000
0.0020,0.0000,0.0000,1024.0000
0.0029,0.0000,0.0000,1024.0000
0.0039,0.0000,0.0000,1024.0000
0.0049,0.0000,0.0000,1024.0000
0.0059,0.0000,0.0000,1024.0000
0.0068,0.0000,0.0000,1024.0000
0.0078,-0.0000,0.0000,1024.0000
0.0088,-0.0000,0.0000,1024.0000
0.0098,-0.0000,0.0000,1024.0000
0.0107,-0.0000,0.0000,1024.0000
0.0117,-0.0000,0.0000,1024.0000
0.0127,0.0000,0.0000,1024.0000
0.0137,0.0000,0.0000,1024.0000
0.0146,0.0000,0.0000,1024.0000
0.0156,0.0000,0.0000,1024.0000
0.0166,0.0000,0.0000,1024.0000
0.0176,0.0000,0.0000,1024.0000
0.0186,0.0000,0.0000,1024.0000
0.0195,0.0000,0.0000,1024.0000
0.0205,-0.0000,0.0000,1024.0000
0.0215,-0.0000,0.0000,1024.0000
0.0225,-0.0000,0.0000,1024.0000
0.0234,-0.0000,0.0000,1024.0000
0.0244,-0.0000,0.0000,1024.0000
0.0254,0.0000,0.0000,1024.0000
0.0264,0.0000,0.0000,1024.0000
0.0273,0.0000,0.0000,1024.0000
0.0283,0.0000,0.0000,1024.0000
0.0293,0.0000,0.0000,1024.0000
0.0303,-0.0000,0.0000,1024.0000
0.0312,-0.0000,0.0000,1024.0000
0.0322,-0.0000,0.0000,1024.0000
0.0332,-0.0000,0.0000,1024.0000
0.0342,-0.0000,0.0000,1024.0000
0.0352,0.0000,0.0000,1024.0000
0.0361,0.0000,0.0000,1024.0000
0.0371,0.0000,0.0000,1024.0000
0.0381,-0.0000,0.0000,1024.0000
0.0391,-0.0000,0.0000,1024.0000
0.0400,-0.0000,0.0000,1024.0000
0.0410,0.0000,0.0000,1024.0000
0.0420,0.0000,0.0000,1024.0000
0.0430,0.0000,0.0000,1024.0000
0.0439,0.0000,0.0000,1024.0000
0.0449,-0.0000,0.0000,1024.0000
0.0459,-0.0000,0.0000,1024.0000
0.0469,-0.0000,0.0000,1024.0000
0.0479,-0.0000,0.0000,1024.0000
0.0488,-0.0000,0.0000,1024.0000
0.0498,0.0000,0.0000,1024.0000
0.0508,0.0000,0.0000,1024.0000
0.0518,0.0000,0.0000,1024.0000
0.0527,0.0000,0.0000,1024.0000
0.0537,0.0000,0.0000,1024.0000
0.0547,-0.0000,0.0000,1024.0000
0.0557,0.0000,0.0000,1024.0000
0.0566,0.0000,0.0000,1024.0000
0.0576,0.0000,0.0000,1024.0000
0.0586,0.0000,0.0000,1024.0000
0.0596,0.0000,0.0000,1024.0000
0.0605,-0.0000,0.0000,1024.0000
0.0615,-0.0000,0.0000,1024.0000
0.0625,-0.0000,0.0000,1024.0000
0.0635,-0.0000,0.0000,1024.0000
0.0645,-0.0000,0.0000,1024.0000
0.0654,0.0000,0.0000,1024.0000
0.0664,0.0000,0.0000,1024.0000
0.0674,0.0000,0.0000,1024.0000
0.0684,0.0000,0.0000,1024.0000
0.0693,0.0000,0.0000,1024.0000
0.0703,-0.0000,0.0000,1024.0000
0.0713,-0.0000,0.0000,1024.0000
0.0723,-0.0000,0.0000,1024.0000
0.0732,-0.0000,0.0000,1024.0000
0.0742,0.0000,0.0000,1024.0000
0.0752,0.0000,0.0000,1024.0000
0.0762,0.0000,0.0000,1024.0000
0.0771,0.0000,0.0000,1024.0000
0.0781,0.0000,0.0000,1024.0000
0.0791,0.0000,0.0000,1024.0000
0.0801,-0.0000,0.0000,1024.0000
0.0811,-0.0000,0.0000,1024.0000
0.0820,-0.0000,0.0000,1024.0000
0.0830,-0.0000,0.0000,1024.0000
0.0840,0.0000,0.0000,1024.0000
0.0850,0.0000,0.0000,1024.0000
0.0859,0.0000,0.0000,1024.0000
0.0869,0.0000,0.0000,1024.0000
0.0879,0.0000,0.0000,1024.0000
0.0889,-0.0000,0.0000,1024.0000
0.0898,0.0000,0.0000,1024.0000
0.0908,-0.0000,0.0000,1024.0000
0.0918,-0.0000,0.0000,1024.0000
0.0928,-0.0000,0.0000,1024.0000
0.0938,-0.0000,0.0000,1024.0000
0.0947,-0.0000,0.0000,1024.0000
0.0957,0.0000,0.0000,1024.0000
0.0967,-0.0000,0.0000,1024.0000
0.0977,0.0000,0.0000,1024.0000
0.0986,-0.0000,0.0000,1024.0000
0.0996,0.0000,0.0000,1024.0000
0.1006,-0.0000,0.0000,1024.0000
0.1016,0.0000,0.0000,1024.0000
0.1025,-0.0000,0.0000,1024.0000
0.1035,0.0000,0.0000,1024.0000
0.1045,-0.0000,0.0000,1024.0000
0.1055,0.0000,0.0000,1024.0000
0.1064,-0.0000,0.0000,1024.0000
0.1074,0.0000,0.0000,1024.0000
0.1084,-0.0000,0.0000,1024.0000
0.1094,0.0000,0.0000,1024.0000
0.1104,-0.0000,0.0000,1024.0000
0.1113,0.0000,0.0000,1024.0000
0.1123,-0.0000,0.0000,1024.0000
0.1133,0.0000,0.0000,1024.0000
0.1143,-0.0000,0.0000,1024.0000
0.1152,0.0000,0.0000,1024.0000
0.1162,-0.0000,0.0000,1024.0000
0.1172,0.0000,0.0000,1024.0000
0.1182,-0.0000,0.0000,1024.0000
0.1191,0.0000,0.0000,1024.0000
0.1201,-0.0000,0.0000,1024.0000
0.1211,0.0000,0.0000,1024.0000
0.1221,-0.0000,0.0000,1024.0000
0.1230,0.0000,0.0000,1024.0000
0.1240,-0.0000,0.0000,1024.0000
0.1250,0.0000,0.0000,1024.0000
0.1260,-0.0000,0.0000,1024.0000
0.1270,0.0000,0.0000,1024.0000
0.1279,-0.0000,0.0000,1024.0000
0.1289,0.0000,0.0000,1024.0000
0.1299,-0.0000,0.0000,1024.0000
0.1309,0.0000,0.0000,1024.0000
0.1318,-0.0000,0.0000,1024.0000
0.1328,0.0000,0.0000,1024.0000
0.1338,-0.0000,0.0000,1024.0000
0.1348,0.0000,0.0000,1024.0000
0.1357,-0.0000,0.0000,1024.0000
0.1367,0.0000,0.0000,1024.0000
0.1377,-0.0000,0.0000,1024.0000
0.1387,0.0000,0.0000,1024.0000
0.1396,-0.0000,0.0000,1024.0000
0.1406,0.0000,0.0000,1024.0000
0.1416,-0.0000,0.0000,1024.0000
0.1426,0.0000,0.0000,1024.0000
0.1436,-0.0000,0.0000,1024.0000
0.1445,0.0000,0.0000,1024.0000
0.1455,-0.0000,0.0000,1024.0000
0.1465,0.0000,0.0000,1024.0000
0.1475,-0.0000,0.0000,1024.0000
0.1484,0.0000,0.0000,1024.0000
0.1494,-0.0000,0.0000,1024.0000
0.1504,0.0000,0.0000,1024.0000
0.1514,-0.0000,0.0000,1024.0000
0.1523,0.0000,0.0000,1024.0000
0.1533,-0.0000,0.0000,1024.0000
0.1543,0.0000,0.0001,1024.0000
0.1553,-0.0000,0.0001,1024.0000
0.1562,0.0000,0.0001,1024.0000
0.1572,-0.0000,0.0001,1024.0000
0.1582,0.0000,0.0001,1024.0000
0.1592,-0.0000,0.0001,1024.0000
0.1602,0.0000,0.0001,1024.0000
0.1611,-0.0000,0.0001,1024.0000
0.1621,0.0000,0.0002,1024.0000
0.1631,-0.0000,0.0002,1024.0000
0.1641,0.0000,0.0002,1024.0000
0.1650,-0.0000,0.0003,1024.0000
0.1660,0.0000,0.0003,1024.0000
0.1670,-0.0000,0.0003,1024.0000
0.1680,0.0000,0.0004,1024.0000
0.1689,-0.0000,0.0004,1024.0000
0.1699,0.0000,0.0005,1024.0000
0.1709,-0.0000,0.0005,1024.0000
0.1719,0.0000,0.0006,1024.0000
0.1729,-0.0000,0.0007,1024.0000
0.1738,0.0000,0.0007,1024.0000
0.1748,-0.0000,0.0008,1024.0000
0.1758,0.0000,0.0009,1024.0000
0.1768,-0.0000,0.0010,1024.0000
0.1777,0.0000,0.0011,1024.0000
0.1787,-0.0000,0.0012,1024.0000
0.1797,0.0000,0.0013,1024.0000
0.1807,-0.0000,0.0014,1024.0000
0.1816,0.0000,0.0015,1024.0000
0.1826,-0.0000,0.0017,1024.0000
0.1836,0.0000,0.0018,1024.0000
0.1846,-0.0000,0.0019,1024.0000
0.1855,0.0000,0.0021,1024.0000
0.1865,-0.0000,0.0022,1024.0000
0.1875,0.0000,0.0024,1024.0000
0.1885,-0.0000,0.0025,1024.0000
0.1895,0.0000,0.0027,1024.0000
0.1904,-0.0000,0.0028,1024.0000
0.1914,0.0000,0.0029,1024.0000
0.1924,-0.0000,0.0030,1024.0000
0.1934,0.0000,0.0031,1024.0000
0.1943,-0.0000,0.0032,1024.0000
0.1953,0.0000,0.0033,1024.0000
0.1963,-0.0000,0.0033,1024.0000
0.1973,0.0000,0.0034,1024.0000
0.1982,-0.0000,0.0033,1024.0000
0.1992,0.0000,0.0033,1024.0000
0.2002,-0.0000,0.0032,1024.0000
0.2012,0.0000,0.0031,1024.0000
0.2021,-0.0000,0.0029,1024.0000
0.2031,0.0000,0.0027,1024.0000
0.2041,-0.0000,0.0024,1024.0000
0.2051,0.0000,0.0021,1024.0000
0.2061,-0.0000,0.0017,1024.0000
0.2070,0.0000,0.0013,1024.0000
0.2080,-0.0000,0.0008,1024.0000
0.2090,0.0000,0.0002,1024.0000
0.2100,0.0000,0.0004,1024.0000
0.2109,-0.0000,0.0011,1024.0000
0.2119,0.0000,0.0019,1024.0000
0.2129,-0.0000,0.0027,1024.0000
0.2139,0.0000,0.0036,1024.0000
0.2148,-0.0000,0.0045,1024.0000
0.2158,0.0000,0.0055,1024.0000
0.2168,-0.0000,0.0065,1024.0000
0.2178,0.0000,0.0075,1024.0000
0.2188,-0.0000,0.0086,1024.0000
0.2197,0.0000,0.0097,1024.0000
0.2207,-0.0000,0.0107,1024.0000
0.2217,0.0000,0.0118,1024.0000
0.2227,-0.0000,0.0129,1024.0000
0.2236,0.0000,0.0139,1024.0000
0.2246,-0.0000,0.0148,1024.0000
0.2256,0.0000,0.0157,1024.0000
0.2266,-0.0000,0.0165,1024.0000
0.2275,0.0000,0.0172,1024.0000
0.2285,-0.0000,0.0178,1024.0000
0.2295,0.0000,0.0182,1024.0000
0.2305,-0.0000,0.0186,1024.0000
0.2314,0.0000,0.0187,1024.0000
0.2324,-0.0000,0.0187,1024.0000
0.2334,0.0000,0.0185,1024.0000
0.2344,-0.0000,0.0181,1024.0000
0.2354,0.0000,0.0175,1024.0000
0.2363,-0.0000,0.0168,1024.0000
0.2373,0.0000,0.0158,1024.0000
0.2383,-0.0000,0.0146,1024.0000
0.2393,0.0000,0.0132,1024.0000
0.2402,-0.0000,0.0116,1024.0000
0.2412,0.0000,0.0098,1024.0000
0.2422,-0.0000,0.0079,1024.0000
0.2432,0.0000,0.0058,1024.0000
0.2441,-0.0000,0.0035,1024.0000
0.2451,0.0000,0.0012,1024.0000
0.2461,0.0000,0.0013,1024.0000
0.2471,-0.0000,0.0038,1024.0000
0.2480,0.0000,0.0064,1024.0000
0.2490,-0.0000,0.0090,1024.0000
0.2500,0.0000,0.0116,1024.0000
0.2510,-0.0000,0.0142,1024.0000
0.2520,0.0000,0.0167,1024.0000
0.2529,-0.0000,0.0191,1024.0000
0.2539,0.0000,0.0213,1024.0000
0.2549,-0.0000,0.0234,1024.0000
0.2559,0.0000,0.0254,1024.0000
0.2568,-0.0000,0.0271,1024.0000
0.2578,0.0000,0.0285,1024.0000
0.2588,-0.0000,0.0297,1024.0000
0.2598,0.0000,0.0307,1024.0000
0.2607,-0.0000,0.0313,1024.0000
0.2617,0.0000,0.0317,1024.0000
0.2627,-0.0000,0.0317,1024.0000
0.2637,0.0000,0.0315,1024.0000
0.2646,-0.0000,0.0309,1024.0000
0.2656,0.0000,0.0301,1024.0000
0.2666,-0.0000,0.0289,1024.0000
0.2676,0.0000,0.0275,1024.0000
0.2686,-0.0000,0.0259,1024.0000
0.2695,0.0000,0.0240,1024.0000
0.2705,-0.0000,0.0219,1024.0000
0.2715,0.0000,0.0196,1024.0000
0.2725,-0.0000,0.0171,1024.0000
0.2734,0.0000,0.0146,1024.0000
0.2744,-0.0000,0.0119,1024.0000
0.2754,0.0000,0.0092,1024.0000
0.2764,-0.0000,0.0064,1024.0000
0.2773,0.0000,0.0037,1024.0000
0.2783,-0.0000,0.0010,1024.0000
0.2793,-0.0000,0.0017,1024.0000
0.2803,0.0000,0.0042,1024.0000
0.2812,-0.0000,0.0066,1024.0000
0.2822,0.0000,0.0089,1024.0000
0.2832,-0.0000,0.0110,1024.0000
0.2842,0.0000,0.0130,1024.0000
0.2852,-0.0000,0.0147,1024.0000
0.2861,0.0000,0.0162,1024.0000
0.2871,-0.0000,0.0175,1024.0000
0.2881,0.0000,0.0186,1024.0000
0.2891,-0.0000,0.0194,1024.0000
0.2900,0.0000,0.0200,1024.0000
0.2910,-0.0000,0.0204,1024.0000
0.2920,0.0000,0.0206,1024.0000
0.2930,-0.0000,0.0206,1024.0000
0.2939,0.0000,0.0203,1024.0000
0.2949,-0.0000,0.0199,1024.0000
